component_name,roi_type,center_x_px,center_y_px,width_px,height_px,pixel_count,pixel_list
L8,Cursor_3x3,107.71,81.15,1,1,9,"[(107, 80), (107, 81), (107, 82), (108, 80), (108, 81), (108, 82), (109, 80), (109, 81), (109, 82)]"
PS1,Cursor_3x3,271.86,206.18,1,1,9,"[(271, 205), (271, 206), (271, 207), (272, 205), (272, 206), (272, 207), (273, 205), (273, 206), (273, 207)]"
PS2,Cursor_3x3,333.50,204.36,1,1,9,"[(333, 203), (333, 204), (333, 205), (334, 203), (334, 204), (334, 205), (335, 203), (335, 204), (335, 205)]"
PS3,Cursor_3x3,179.73,204.62,1,1,9,"[(179, 204), (179, 205), (179, 206), (180, 204), (180, 205), (180, 206), (181, 204), (181, 205), (181, 206)]"
R1,Cursor_1x1,395.67,154.77,1,1,1,"[(396, 155)]"
R2,Cursor_1x1,388.97,54.48,1,1,1,"[(389, 54)]"
R3,Cursor_1x1,388.97,67.92,1,1,1,"[(389, 68)]"
R4,Cursor_1x1,388.97,81.05,1,1,1,"[(389, 81)]"
R5,Cursor_1x1,388.97,94.29,1,1,1,"[(389, 94)]"
R6,Cursor_1x1,393.98,143.71,1,1,1,"[(394, 144)]"
R7,Cursor_1x1,395.71,158.28,1,1,1,"[(396, 158)]"
R8,Cursor_1x1,391.04,143.71,1,1,1,"[(391, 144)]"
R9,Cursor_1x1,388.02,103.93,1,1,1,"[(388, 104)]"
R10,Cursor_1x1,389.10,158.28,1,1,1,"[(389, 158)]"
R11,Cursor_1x1,389.08,154.73,1,1,1,"[(389, 155)]"
R12,Cursor_1x1,382.01,103.89,1,1,1,"[(382, 104)]"
R13,Cursor_1x1,410.67,154.77,1,1,1,"[(411, 155)]"
R14,Cursor_1x1,366.06,206.87,1,1,1,"[(366, 207)]"
R15,Cursor_1x1,410.02,143.71,1,1,1,"[(410, 144)]"
R16,Cursor_1x1,410.67,158.28,1,1,1,"[(411, 158)]"
R17,Cursor_1x1,218.21,205.32,1,1,1,"[(218, 205)]"
R18,Cursor_1x1,405.22,143.66,1,1,1,"[(405, 144)]"
R19,Cursor_1x1,404.27,158.28,1,1,1,"[(404, 158)]"
R20,Cursor_1x1,404.23,154.73,1,1,1,"[(404, 155)]"
R21,Cursor_1x1,398.43,287.75,1,1,1,"[(398, 288)]"
R22,Cursor_1x1,410.80,286.43,1,1,1,"[(411, 286)]"
R23,Cursor_1x1,420.40,274.52,1,1,1,"[(420, 275)]"
R25,Cursor_1x1,384.86,281.09,1,1,1,"[(385, 281)]"
R26,Cursor_1x1,398.44,280.08,1,1,1,"[(398, 280)]"
R27,Cursor_1x1,410.64,183.27,1,1,1,"[(411, 183)]"
R28,Cursor_1x1,424.46,190.57,1,1,1,"[(424, 191)]"
R30,Cursor_1x1,402.72,195.09,1,1,1,"[(403, 195)]"
R32,Cursor_1x1,424.42,187.02,1,1,1,"[(424, 187)]"
R33,Cursor_1x1,396.19,189.88,1,1,1,"[(396, 190)]"
R34,Cursor_1x1,389.22,186.46,1,1,1,"[(389, 186)]"
R35,Cursor_1x1,236.00,205.32,1,1,1,"[(236, 205)]"
R37,Cursor_1x1,387.48,194.88,1,1,1,"[(387, 195)]"
R38,Cursor_1x1,394.76,199.60,1,1,1,"[(395, 200)]"
R42,Cursor_1x1,222.79,269.08,1,1,1,"[(223, 269)]"
R43,Cursor_1x1,222.79,263.33,1,1,1,"[(223, 263)]"
R45,Cursor_1x1,155.72,228.16,1,1,1,"[(156, 228)]"
R46,Cursor_1x1,217.99,252.59,1,1,1,"[(218, 253)]"
R48,Cursor_1x1,223.40,252.59,1,1,1,"[(223, 253)]"
R51,Cursor_1x1,217.99,245.06,1,1,1,"[(218, 245)]"
R53,Cursor_1x1,223.40,245.04,1,1,1,"[(223, 245)]"
R56,Cursor_1x1,410.56,71.76,1,1,1,"[(411, 72)]"
R57,Cursor_1x1,410.58,108.20,1,1,1,"[(411, 108)]"
R58,Cursor_1x1,437.00,108.13,1,1,1,"[(437, 108)]"
R59,Cursor_1x1,436.97,71.59,1,1,1,"[(437, 72)]"
R60,Cursor_1x1,295.51,250.71,1,1,1,"[(296, 251)]"
R61,Cursor_1x1,155.72,215.25,1,1,1,"[(156, 215)]"
R62,Cursor_1x1,290.07,250.71,1,1,1,"[(290, 251)]"
R63,Cursor_1x1,295.30,243.68,1,1,1,"[(295, 244)]"
R64,Cursor_1x1,272.51,269.29,1,1,1,"[(273, 269)]"
R65,Cursor_1x1,272.51,264.01,1,1,1,"[(273, 264)]"
R66,Cursor_1x1,289.85,243.68,1,1,1,"[(290, 244)]"
R88,Cursor_1x1,154.90,205.61,1,1,1,"[(155, 206)]"
R89,Cursor_1x1,155.72,220.42,1,1,1,"[(156, 220)]"
R90,Cursor_1x1,155.72,225.58,1,1,1,"[(156, 226)]"
R91,Cursor_1x1,155.72,230.74,1,1,1,"[(156, 231)]"
R92,Cursor_1x1,155.72,223.00,1,1,1,"[(156, 223)]"
R93,Cursor_1x1,167.95,230.74,1,1,1,"[(168, 231)]"
R94,Cursor_1x1,167.95,228.16,1,1,1,"[(168, 228)]"
R95,Cursor_1x1,167.95,225.58,1,1,1,"[(168, 226)]"
R96,Cursor_1x1,167.95,223.00,1,1,1,"[(168, 223)]"
R97,Cursor_1x1,167.95,217.84,1,1,1,"[(168, 218)]"
R98,Cursor_1x1,155.72,217.84,1,1,1,"[(156, 218)]"
R99,Cursor_1x1,167.95,220.42,1,1,1,"[(168, 220)]"
R100,Cursor_1x1,167.95,215.25,1,1,1,"[(168, 215)]"
R101,Cursor_1x1,309.10,207.00,1,1,1,"[(309, 207)]"
R103,Cursor_1x1,434.97,169.86,1,1,1,"[(435, 170)]"
R104,Cursor_1x1,384.86,286.45,1,1,1,"[(385, 286)]"
R105,Cursor_1x1,405.40,195.09,1,1,1,"[(405, 195)]"
R107,Cursor_1x1,247.52,243.57,1,1,1,"[(248, 244)]"
R120,Cursor_1x1,266.97,243.57,1,1,1,"[(267, 244)]"
R121,Cursor_1x1,297.04,228.39,1,1,1,"[(297, 228)]"
R122,Cursor_1x1,280.46,228.44,1,1,1,"[(280, 228)]"
R123,Cursor_1x1,202.41,228.01,1,1,1,"[(202, 228)]"
R124,Cursor_1x1,264.20,228.35,1,1,1,"[(264, 228)]"
R125,Cursor_1x1,248.73,228.35,1,1,1,"[(249, 228)]"
R126,Cursor_1x1,217.54,228.03,1,1,1,"[(218, 228)]"
R127,Cursor_1x1,233.56,228.16,1,1,1,"[(234, 228)]"
R131,Cursor_1x1,93.39,230.84,1,1,1,"[(93, 231)]"
R138,Cursor_1x1,313.67,228.09,1,1,1,"[(314, 228)]"
R139,Cursor_1x1,167.95,233.32,1,1,1,"[(168, 233)]"
R140,Cursor_1x1,155.72,233.32,1,1,1,"[(156, 233)]"
RST High,Cursor_1x1,93.10,241.49,1,1,1,"[(93, 241)]"
RST Low,Cursor_1x1,325.81,224.81,1,1,1,"[(326, 225)]"
SCLK,Cursor_3x3,445.52,227.70,1,1,9,"[(445, 227), (445, 228), (445, 229), (446, 227), (446, 228), (446, 229), (447, 227), (447, 228), (447, 229)]"
SW1,Cursor_3x3,104.82,230.99,1,1,9,"[(104, 230), (104, 231), (104, 232), (105, 230), (105, 231), (105, 232), (106, 230), (106, 231), (106, 232)]"
SW2,Cursor_3x3,393.99,223.39,1,1,9,"[(393, 222), (393, 223), (393, 224), (394, 222), (394, 223), (394, 224), (395, 222), (395, 223), (395, 224)]"
U1,Cursor_3x3,392.38,137.61,1,1,9,"[(391, 137), (391, 138), (391, 139), (392, 137), (392, 138), (392, 139), (393, 137), (393, 138), (393, 139)]"
U2,Cursor_3x3,392.38,150.01,1,1,9,"[(391, 149), (391, 150), (391, 151), (392, 149), (392, 150), (392, 151), (393, 149), (393, 150), (393, 151)]"
U3,Cursor_3x3,392.30,172.71,1,1,9,"[(391, 172), (391, 173), (391, 174), (392, 172), (392, 173), (392, 174), (393, 172), (393, 173), (393, 174)]"
U4,Cursor_3x3,407.63,137.47,1,1,9,"[(407, 136), (407, 137), (407, 138), (408, 136), (408, 137), (408, 138), (409, 136), (409, 137), (409, 138)]"
U5,Cursor_3x3,407.63,150.01,1,1,9,"[(407, 149), (407, 150), (407, 151), (408, 149), (408, 150), (408, 151), (409, 149), (409, 150), (409, 151)]"
U6,Cursor_3x3,407.86,172.80,1,1,9,"[(407, 172), (407, 173), (407, 174), (408, 172), (408, 173), (408, 174), (409, 172), (409, 173), (409, 174)]"
U7,Cursor_3x3,390.11,283.77,1,1,9,"[(389, 283), (389, 284), (389, 285), (390, 283), (390, 284), (390, 285), (391, 283), (391, 284), (391, 285)]"
U8,Cursor_3x3,410.52,194.63,1,1,9,"[(410, 194), (410, 195), (410, 196), (411, 194), (411, 195), (411, 196), (412, 194), (412, 195), (412, 196)]"
U9,Cursor_3x3,394.81,194.85,1,1,9,"[(394, 194), (394, 195), (394, 196), (395, 194), (395, 195), (395, 196), (396, 194), (396, 195), (396, 196)]"
U10,Cursor_3x3,256.86,259.26,1,1,9,"[(256, 258), (256, 259), (256, 260), (257, 258), (257, 259), (257, 260), (258, 258), (258, 259), (258, 260)]"
U12,Cursor_3x3,236.96,247.85,1,1,9,"[(236, 247), (236, 248), (236, 249), (237, 247), (237, 248), (237, 249), (238, 247), (238, 248), (238, 249)]"
U13,Cursor_3x3,277.88,247.85,1,1,9,"[(277, 247), (277, 248), (277, 249), (278, 247), (278, 248), (278, 249), (279, 247), (279, 248), (279, 249)]"
U14,Cursor_3x3,428.99,221.78,1,1,9,"[(428, 221), (428, 222), (428, 223), (429, 221), (429, 222), (429, 223), (430, 221), (430, 222), (430, 223)]"
